Trial,Direction,R,I,I_e,V,V_e
8, P, 0.0515, 3.50, 0.01, 125.0, 0.1
8, P, 0.0575, 3.50, 0.01, 155.8, 0.1



9, A, 0.0325, 2.00, 0.01, 14.5,  0.1
9, A, 0.039,  2.00, 0.01, 18.8,  0.1
9, A, 0.045,  2.00, 0.01, 24.1,  0.1
9, A, 0.0515, 2.00, 0.01, 31.2,  0.1
9, A, 0.0575, 2.00, 0.01, 38.5,  0.1

9, A, 0.0325, 2.50, 0.01, 20.5,  0.1
9, A, 0.039,  2.50, 0.01, 28.5,  0.1
9, A, 0.045,  2.50, 0.01, 37.3,  0.1
9, A, 0.0515, 2.50, 0.01, 49.1,  0.1
9, A, 0.0575, 2.50, 0.01, 62.0,  0.1

9, A, 0.0325, 3.00, 0.01, 30.7,  0.1
9, A, 0.039,  3.00, 0.01, 43.5,  0.1
9, A, 0.045,  3.00, 0.01, 57.3,  0.1
9, A, 0.0515, 3.00, 0.01, 74.1,  0.1
9, A, 0.0575, 3.00, 0.01, 91.8,  0.1

9, A, 0.0325, 3.50, 0.01, 41.6,  0.1
9, A, 0.039,  3.50, 0.01, 56.8,  0.1
9, A, 0.045,  3.50, 0.01, 76.9,  0.1
9, A, 0.0515, 3.50, 0.01, 98.4,  0.1
9, A, 0.0575, 3.50, 0.01, 123.9, 0.1



10, A, 0.0325, 2.00, 0.01, 14.5,  0.1
10, A, 0.039,  2.00, 0.01, 18.6,  0.1
10, A, 0.045,  2.00, 0.01, 24.9,  0.1
10, A, 0.0515, 2.00, 0.01, 31.4,  0.1
10, A, 0.0575, 2.00, 0.01, 39.4,  0.1

10, A, 0.0325, 2.50, 0.01, 20.8,  0.1
10, A, 0.039,  2.50, 0.01, 28.9,  0.1
10, A, 0.045,  2.50, 0.01, 38.6,  0.1
10, A, 0.0515, 2.50, 0.01, 49.4,  0.1
10, A, 0.0575, 2.50, 0.01, 64.0,  0.1

10, A, 0.0325, 3.00, 0.01, 29.7,  0.1
10, A, 0.039,  3.00, 0.01, 42.1,  0.1
10, A, 0.045,  3.00, 0.01, 57.1,  0.1
10, A, 0.0515, 3.00, 0.01, 74.1,  0.1
10, A, 0.0575, 3.00, 0.01, 91.8,  0.1

10, A, 0.0325, 3.50, 0.01, 40.9,  0.1
10, A, 0.039,  3.50, 0.01, 57.5,  0.1
10, A, 0.045,  3.50, 0.01, 76.8,  0.1
10, A, 0.0515, 3.50, 0.01, 99.9,  0.1
10, A, 0.0575, 3.50, 0.01, 126.4, 0.1



11, A, 0.0325, 2.00, 0.01, 14.5,  0.1
11, A, 0.039,  2.00, 0.01, 19.6,  0.1
11, A, 0.045,  2.00, 0.01, 25.6,  0.1
11, A, 0.0515, 2.00, 0.01, 31.9,  0.1
11, A, 0.0575, 2.00, 0.01, 40.1,  0.1

11, A, 0.0325, 2.50, 0.01, 20.6,  0.1
11, A, 0.039,  2.50, 0.01, 28.8,  0.1
11, A, 0.045,  2.50, 0.01, 38.6,  0.1
11, A, 0.0515, 2.50, 0.01, 49.3,  0.1
11, A, 0.0575, 2.50, 0.01, 63.6,  0.1

11, A, 0.0325, 3.00, 0.01, 30.0,  0.1
11, A, 0.039,  3.00, 0.01, 42.1,  0.1
11, A, 0.045,  3.00, 0.01, 56.1,  0.1
11, A, 0.0515, 3.00, 0.01, 72.2,  0.1
11, A, 0.0575, 3.00, 0.01, 89.9,  0.1

11, A, 0.0325, 3.50, 0.01, 41.3,  0.1
11, A, 0.039,  3.50, 0.01, 58.8,  0.1
11, A, 0.045,  3.50, 0.01, 77.1,  0.1
11, A, 0.0515, 3.50, 0.01, 100.5, 0.1
11, A, 0.0575, 3.50, 0.01, 122.5, 0.1



12, A, 0.0325, 2.00, 0.01, 14.4,  0.1
12, A, 0.039,  2.00, 0.01, 18.9,  0.1
12, A, 0.045,  2.00, 0.01, 24.2,  0.1
12, A, 0.0515, 2.00, 0.01, 31.2,  0.1
